function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_omp,15,10000,1000,0,3.832150
decode_tensor_viterbi_omp,15,10000,1000,1,3.755274
decode_tensor_viterbi_omp,15,10000,1000,2,3.768673
decode_tensor_viterbi_omp,15,10000,1000,3,3.801312
decode_tensor_viterbi_omp,15,10000,1000,4,3.789695
decode_tensor_viterbi_omp,15,10000,1000,5,3.819348
decode_tensor_viterbi_omp,15,10000,1000,6,3.788486
decode_tensor_viterbi_omp,15,10000,1000,7,3.833725
decode_tensor_viterbi_omp,15,10000,1000,8,3.787529
decode_tensor_viterbi_omp,15,10000,1000,9,3.839924
