function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,75,1000,1000,0,2.478788
decode_tensor_viterbi_cpp,75,1000,1000,1,2.462246
decode_tensor_viterbi_cpp,75,1000,1000,2,2.469706
decode_tensor_viterbi_cpp,75,1000,1000,3,2.461526
decode_tensor_viterbi_cpp,75,1000,1000,4,2.472811
decode_tensor_viterbi_cpp,75,1000,1000,5,2.463543
decode_tensor_viterbi_cpp,75,1000,1000,6,2.461709
decode_tensor_viterbi_cpp,75,1000,1000,7,2.464522
decode_tensor_viterbi_cpp,75,1000,1000,8,2.451518
decode_tensor_viterbi_cpp,75,1000,1000,9,2.466876
