function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_omp,25,10000,250,0,1.954514
decode_tensor_viterbi_omp,25,10000,250,1,0.433755
decode_tensor_viterbi_omp,25,10000,250,2,0.432133
decode_tensor_viterbi_omp,25,10000,250,3,0.439768
decode_tensor_viterbi_omp,25,10000,250,4,0.431831
decode_tensor_viterbi_omp,25,10000,250,5,0.436404
decode_tensor_viterbi_omp,25,10000,250,6,0.433477
decode_tensor_viterbi_omp,25,10000,250,7,0.435897
decode_tensor_viterbi_omp,25,10000,250,8,0.433051
decode_tensor_viterbi_omp,25,10000,250,9,0.438368
