function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_omp,15,1000,100,0,0.056012
decode_tensor_viterbi_omp,15,1000,100,1,0.049826
decode_tensor_viterbi_omp,15,1000,100,2,0.050479
decode_tensor_viterbi_omp,15,1000,100,3,0.050145
decode_tensor_viterbi_omp,15,1000,100,4,0.050244
decode_tensor_viterbi_omp,15,1000,100,5,0.050146
decode_tensor_viterbi_omp,15,1000,100,6,0.050341
decode_tensor_viterbi_omp,15,1000,100,7,0.050085
decode_tensor_viterbi_omp,15,1000,100,8,0.049986
decode_tensor_viterbi_omp,15,1000,100,9,0.050082
