function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_omp,15,1000,1000,0,2.522277
decode_tensor_viterbi_omp,15,1000,1000,1,2.521075
decode_tensor_viterbi_omp,15,1000,1000,2,2.524734
decode_tensor_viterbi_omp,15,1000,1000,3,2.518842
decode_tensor_viterbi_omp,15,1000,1000,4,2.516835
decode_tensor_viterbi_omp,15,1000,1000,5,2.516691
decode_tensor_viterbi_omp,15,1000,1000,6,2.522552
decode_tensor_viterbi_omp,15,1000,1000,7,2.518229
decode_tensor_viterbi_omp,15,1000,1000,8,2.516657
decode_tensor_viterbi_omp,15,1000,1000,9,2.519575
