function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,25,10000,1000,0,4.694923
decode_tensor_viterbi_cpp,25,10000,1000,1,4.694438
decode_tensor_viterbi_cpp,25,10000,1000,2,4.697495
decode_tensor_viterbi_cpp,25,10000,1000,3,4.698254
decode_tensor_viterbi_cpp,25,10000,1000,4,4.703269
decode_tensor_viterbi_cpp,25,10000,1000,5,4.690259
decode_tensor_viterbi_cpp,25,10000,1000,6,4.698925
decode_tensor_viterbi_cpp,25,10000,1000,7,4.692238
decode_tensor_viterbi_cpp,25,10000,1000,8,4.694430
decode_tensor_viterbi_cpp,25,10000,1000,9,4.705593
