STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.09598216 GHz,
TABLE,Region viterbi_baseline,Group 1 Raw,L2,5
Region Info,HWThread 0,
RDTSC Runtime [s],17.059180,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,68666820000
MAX_CPU_CLOCK,FIXC2,35740240000
RETIRED_INSTRUCTIONS,PMC0,188759000000
CPU_CLOCKS_UNHALTED,PMC1,67587890000
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,440455100
TABLE,Region viterbi_baseline,Group 1 Metric,L2,8
Metric,HWThread 0,
Runtime (RDTSC) [s],17.0592,
Runtime unhalted [s],32.7612,
Clock [MHz],4026.9576,
CPI,0.3581,
L2D load bandwidth [MBytes/s],1652.4315,
L2D load data volume [GBytes],28.1891,
L2 bandwidth [MBytes/s],1652.4315,
L2 data volume [GBytes],28.1891,
