STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.095792336 GHz,
TABLE,Region viterbi_baseline,Group 1 Raw,MEM,6
Region Info,HWThread 0,
RDTSC Runtime [s],17.060960,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,68565680000
MAX_CPU_CLOCK,FIXC2,35755610000
RETIRED_INSTRUCTIONS,PMC0,188759000000
CPU_CLOCKS_UNHALTED,PMC1,67530000000
DRAM_CHANNEL_0,DFC0,168786900
DRAM_CHANNEL_1,DFC1,163700000
TABLE,Region viterbi_baseline,Group 1 Metric,MEM,6
Metric,HWThread 0,
Runtime (RDTSC) [s],17.0610,
Runtime unhalted [s],32.7159,
Clock [MHz],4018.9337,
CPI,0.3578,
Memory bandwidth [MBytes/s],4988.9717,
Memory data volume [GBytes],85.1166,
