STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.096040999 GHz,
TABLE,Region viterbi_baseline,Group 1 Raw,MEM,6
Region Info,HWThread 0,
RDTSC Runtime [s],17.157080,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,69025980000
MAX_CPU_CLOCK,FIXC2,35959910000
RETIRED_INSTRUCTIONS,PMC0,188759000000
CPU_CLOCKS_UNHALTED,PMC1,67972220000
DRAM_CHANNEL_0,DFC0,223686100
DRAM_CHANNEL_1,DFC1,217033100
TABLE,Region viterbi_baseline,Group 1 Metric,MEM,6
Metric,HWThread 0,
Runtime (RDTSC) [s],17.1571,
Runtime unhalted [s],32.9316,
Clock [MHz],4023.4051,
CPI,0.3601,
Memory bandwidth [MBytes/s],6575.9509,
Memory data volume [GBytes],112.8241,
