STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.096044792 GHz,
TABLE,Region viterbi_cpp,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 0,
RDTSC Runtime [s],2.053684,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,8225829000
MAX_CPU_CLOCK,FIXC2,4304450000
RETIRED_INSTRUCTIONS,PMC0,21532560000
CPU_CLOCKS_UNHALTED,PMC1,7998190000
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,4255073000
MERGE,PMC3,0
TABLE,Region viterbi_cpp,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 0,
Runtime (RDTSC) [s],2.0537,
Runtime unhalted [s],3.9245,
Clock [MHz],4005.5538,
CPI,0.3714,
DP [MFLOP/s],2071.9220,
