STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.095390179 GHz,
TABLE,Region viterbi_cpp,Group 1 Raw,L3,6
Region Info,HWThread 0,
RDTSC Runtime [s],2.051918,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,8249209000
MAX_CPU_CLOCK,FIXC2,4301353000
RETIRED_INSTRUCTIONS,PMC0,21532560000
CPU_CLOCKS_UNHALTED,PMC1,8024219000
L3_ACCESS,CPMC0,494449900
L3_MISS,CPMC1,284569800
TABLE,Region viterbi_cpp,Group 1 Metric,L3,9
Metric,HWThread 0,
Runtime (RDTSC) [s],2.0519,
Runtime unhalted [s],3.9368,
Clock [MHz],4018.5754,
CPI,0.3727,
L3 access bandwidth [MBytes/s],15422.0557,
L3 access data volume [GBytes],31.6448,
L3 access rate [%],2.2963,
L3 miss rate [%],1.3216,
L3 miss ratio [%],57.5528,
