STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.095840487 GHz,
TABLE,Region viterbi_omp_opt,Group 1 Raw,L3,6
Region Info,HWThread 0,
RDTSC Runtime [s],2.023193,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,8157208000
MAX_CPU_CLOCK,FIXC2,4240921000
RETIRED_INSTRUCTIONS,PMC0,20830540000
CPU_CLOCKS_UNHALTED,PMC1,7543418000
L3_ACCESS,CPMC0,517375800
L3_MISS,CPMC1,287470500
TABLE,Region viterbi_omp_opt,Group 1 Metric,L3,9
Metric,HWThread 0,
Runtime (RDTSC) [s],2.0232,
Runtime unhalted [s],3.8921,
Clock [MHz],4031.2486,
CPI,0.3621,
L3 access bandwidth [MBytes/s],16366.2346,
L3 access data volume [GBytes],33.1121,
L3 access rate [%],2.4837,
L3 miss rate [%],1.3800,
L3 miss ratio [%],55.5632,
