function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,25,10000,100,0,0.731027
decode_tensor_viterbi_cpp,25,10000,100,1,0.727349
decode_tensor_viterbi_cpp,25,10000,100,2,0.727085
decode_tensor_viterbi_cpp,25,10000,100,3,0.727096
decode_tensor_viterbi_cpp,25,10000,100,4,0.726991
decode_tensor_viterbi_cpp,25,10000,100,5,0.727085
decode_tensor_viterbi_cpp,25,10000,100,6,0.727029
decode_tensor_viterbi_cpp,25,10000,100,7,0.727070
decode_tensor_viterbi_cpp,25,10000,100,8,0.727068
decode_tensor_viterbi_cpp,25,10000,100,9,0.727099
decode_tensor_viterbi_omp,25,10000,100,0,3.559968
decode_tensor_viterbi_omp,25,10000,100,1,1.901387
decode_tensor_viterbi_omp,25,10000,100,2,1.720809
decode_tensor_viterbi_omp,25,10000,100,3,1.918801
decode_tensor_viterbi_omp,25,10000,100,4,1.278345
decode_tensor_viterbi_omp,25,10000,100,5,1.064534
decode_tensor_viterbi_omp,25,10000,100,6,0.669712
decode_tensor_viterbi_omp,25,10000,100,7,0.466955
decode_tensor_viterbi_omp,25,10000,100,8,0.264720
decode_tensor_viterbi_omp,25,10000,100,9,0.281972
HSMMLearn_CPP,25,10000,100,0,9.400269
HSMMLearn_CPP,25,10000,100,1,9.355478
HSMMLearn_CPP,25,10000,100,2,9.361035
HSMMLearn_CPP,25,10000,100,3,9.355940
HSMMLearn_CPP,25,10000,100,4,9.353142
HSMMLearn_OMP,25,10000,100,0,0.437185
HSMMLearn_OMP,25,10000,100,1,0.435805
HSMMLearn_OMP,25,10000,100,2,0.433203
HSMMLearn_OMP,25,10000,100,3,0.433030
HSMMLearn_OMP,25,10000,100,4,0.437874
