function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,50,1000,250,0,0.668123
decode_tensor_viterbi_cpp,50,1000,250,1,0.649006
decode_tensor_viterbi_cpp,50,1000,250,2,0.647241
decode_tensor_viterbi_cpp,50,1000,250,3,0.647181
decode_tensor_viterbi_cpp,50,1000,250,4,0.647298
decode_tensor_viterbi_cpp,50,1000,250,5,0.647167
decode_tensor_viterbi_cpp,50,1000,250,6,0.647223
decode_tensor_viterbi_cpp,50,1000,250,7,0.647160
decode_tensor_viterbi_cpp,50,1000,250,8,0.647132
decode_tensor_viterbi_cpp,50,1000,250,9,0.647169
