STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000042523 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,BRANCH,6,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],4.379628,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507480000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5391377000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3203027000,,,
TOPDOWN_SLOTS,FIXC3,32348270000,,,
BR_INST_RETIRED_ALL_BRANCHES,PMC0,2047398000,,,
BR_MISP_RETIRED_ALL_BRANCHES,PMC1,25020610,,,
TABLE,Region viterbi_baseline,Group 1 Metric,BRANCH,8,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],4.3796,,,,
Runtime unhalted [s],2.6956,,,,
Clock [MHz],3366.4978,,,,
CPI,0.3991,,,,
Branch rate,0.1516,,,,
Branch misprediction rate,0.0019,,,,
Branch misprediction ratio,0.0122,,,,
Instructions per branch,6.5974,,,,
