STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000043515 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,L2,5,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],4.363625,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507470000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5385370000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3199494000,,,
TOPDOWN_SLOTS,FIXC3,32312230000,,,
L1D_REPLACEMENT,PMC0,63001510,,,
TABLE,Region viterbi_baseline,Group 1 Metric,L2,6,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],4.3636,,,,
Runtime unhalted [s],2.6926,,,,
Clock [MHz],3366.4618,,,,
CPI,0.3987,,,,
L2D load bandwidth [MBytes/s],924.0246,,,,
L2D load data volume [GBytes],4.0321,,,,
