STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000041343 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,MEM,36,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],4.359068,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507530000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5389447000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3202052000,,,
TOPDOWN_SLOTS,FIXC3,32336690000,,,
CAS_COUNT_RD,MBOX0C0,10552220,,,
CAS_COUNT_WR,MBOX0C1,4907352,,,
CAS_COUNT_RD,MBOX1C0,10624790,,,
CAS_COUNT_WR,MBOX1C1,4929198,,,
CAS_COUNT_RD,MBOX2C0,715481,,,
CAS_COUNT_WR,MBOX2C1,629360,,,
CAS_COUNT_RD,MBOX3C0,722264,,,
CAS_COUNT_WR,MBOX3C1,631556,,,
CAS_COUNT_RD,MBOX4C0,396549,,,
CAS_COUNT_WR,MBOX4C1,394307,,,
CAS_COUNT_RD,MBOX5C0,399101,,,
CAS_COUNT_WR,MBOX5C1,393443,,,
CAS_COUNT_RD,MBOX6C0,434924,,,
CAS_COUNT_WR,MBOX6C1,432352,,,
CAS_COUNT_RD,MBOX7C0,392388,,,
CAS_COUNT_WR,MBOX7C1,383449,,,
CAS_COUNT_RD,MBOX8C0,-,,,
CAS_COUNT_WR,MBOX8C1,-,,,
CAS_COUNT_RD,MBOX9C0,-,,,
CAS_COUNT_WR,MBOX9C1,-,,,
CAS_COUNT_RD,MBOX10C0,-,,,
CAS_COUNT_WR,MBOX10C1,-,,,
CAS_COUNT_RD,MBOX11C0,-,,,
CAS_COUNT_WR,MBOX11C1,-,,,
CAS_COUNT_RD,MBOX12C0,-,,,
CAS_COUNT_WR,MBOX12C1,-,,,
CAS_COUNT_RD,MBOX13C0,-,,,
CAS_COUNT_WR,MBOX13C1,-,,,
CAS_COUNT_RD,MBOX14C0,-,,,
CAS_COUNT_WR,MBOX14C1,-,,,
CAS_COUNT_RD,MBOX15C0,-,,,
CAS_COUNT_WR,MBOX15C1,-,,,
TABLE,Region viterbi_baseline,Group 1 Metric,MEM,10,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],4.3591,,,,
Runtime unhalted [s],2.6947,,,,
Clock [MHz],3366.3154,,,,
CPI,0.3990,,,,
Memory read bandwidth [MBytes/s],355.8591,,,,
Memory read data volume [GBytes],1.5512,,,,
Memory write bandwidth [MBytes/s],186.4768,,,,
Memory write data volume [GBytes],0.8129,,,,
Memory bandwidth [MBytes/s],542.3359,,,,
Memory data volume [GBytes],2.3641,,,,
