STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000039483 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,TMA,12,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],5.126380,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507520000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5282645000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3521254000,,,
TOPDOWN_SLOTS,FIXC3,31695880000,,,
RETIRING,TMA0,-,,,
BAD_SPECULATION,TMA1,-,,,
FRONTEND_BOUND,TMA2,-,,,
BACKEND_BOUND,TMA3,-,,,
TOPDOWN_BACKEND_BOUND_SLOTS,PMC0,6976147000,,,
TOPDOWN_BAD_SPEC_SLOTS,PMC1,3111735000,,,
TOPDOWN_BR_MISPREDICT_SLOTS,PMC2,1033218000,,,
TOPDOWN_MEMORY_BOUND_SLOTS,PMC3,950625400,,,
TABLE,Region viterbi_baseline,Group 1 Metric,TMA,13,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],5.1264,,,,
Runtime unhalted [s],2.6413,,,,
Clock [MHz],3000.4932,,,,
CPI,0.3911,,,,
IPC,2.5570,,,,
Front End [%],0,,,,
Bad Speculation [%],0,,,,
Retiring [%],0,,,,
Back End [%],0,,,,
Back End (PMC) [%],22.0096,,,,
Bad Speculation (PMC) [%],9.8175,,,,
Mispredicion Bound [%],3.2598,,,,
Memory Bound [%],2.9992,,,,
