STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000046243 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,BRANCH,6,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],4.379579,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507470000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5390741000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3202953000,,,
TOPDOWN_SLOTS,FIXC3,32344450000,,,
BR_INST_RETIRED_ALL_BRANCHES,PMC0,2047396000,,,
BR_MISP_RETIRED_ALL_BRANCHES,PMC1,24994270,,,
TABLE,Region viterbi_baseline,Group 1 Metric,BRANCH,8,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],4.3796,,,,
Runtime unhalted [s],2.6953,,,,
Clock [MHz],3366.1847,,,,
CPI,0.3991,,,,
Branch rate,0.1516,,,,
Branch misprediction rate,0.0019,,,,
Branch misprediction ratio,0.0122,,,,
Instructions per branch,6.5974,,,,
