STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000042555 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,FLOPS_DP,8,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],4.364365,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507390000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5391746000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3203184000,,,
TOPDOWN_SLOTS,FIXC3,32350480000,,,
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0,,,
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,1961070000,,,
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0,,,
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,0,,,
TABLE,Region viterbi_baseline,Group 1 Metric,FLOPS_DP,10,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],4.3644,,,,
Runtime unhalted [s],2.6958,,,,
Clock [MHz],3366.5632,,,,
CPI,0.3992,,,,
DP [MFLOP/s],449.3368,,,,
AVX DP [MFLOP/s],0,,,,
AVX512 DP [MFLOP/s],0,,,,
Packed [MUOPS/s],0,,,,
Scalar [MUOPS/s],449.3368,,,,
Vectorization ratio,0,,,,
