STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000043815 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,L3,7,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],4.360422,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507500000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5394287000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3205416000,,,
TOPDOWN_SLOTS,FIXC3,32365730000,,,
L2_LINES_IN_ALL,PMC0,38812950,,,
L2_LINES_OUT_SILENT,PMC2,9116810,,,
L2_LINES_OUT_NON_SILENT,PMC3,27849050,,,
TABLE,Region viterbi_baseline,Group 1 Metric,L3,12,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],4.3604,,,,
Runtime unhalted [s],2.6971,,,,
Clock [MHz],3365.8066,,,,
CPI,0.3994,,,,
L3 load bandwidth [MBytes/s],569.6762,,,,
L3 load data volume [GBytes],2.4840,,,,
L3 evict bandwidth [MBytes/s],408.7538,,,,
L3 evict data volume [GBytes],1.7823,,,,
Dropped CLs bandwidth [MBytes/s],133.8118,,,,
Dropped CLs data volume [GBytes],0.5835,,,,
L3 bandwidth [MBytes/s],978.4301,,,,
L3 data volume [GBytes],4.2664,,,,
