STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000045543 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,TMA,12,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],5.106261,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507490000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5287934000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3524762000,,,
TOPDOWN_SLOTS,FIXC3,31727610000,,,
RETIRING,TMA0,-,,,
BAD_SPECULATION,TMA1,-,,,
FRONTEND_BOUND,TMA2,-,,,
BACKEND_BOUND,TMA3,-,,,
TOPDOWN_BACKEND_BOUND_SLOTS,PMC0,6968425000,,,
TOPDOWN_BAD_SPEC_SLOTS,PMC1,3116394000,,,
TOPDOWN_BR_MISPREDICT_SLOTS,PMC2,1049856000,,,
TOPDOWN_MEMORY_BOUND_SLOTS,PMC3,955583900,,,
TABLE,Region viterbi_baseline,Group 1 Metric,TMA,13,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],5.1063,,,,
Runtime unhalted [s],2.6439,,,,
Clock [MHz],3000.5171,,,,
CPI,0.3915,,,,
IPC,2.5544,,,,
Front End [%],0,,,,
Bad Speculation [%],0,,,,
Retiring [%],0,,,,
Back End [%],0,,,,
Back End (PMC) [%],21.9633,,,,
Bad Speculation (PMC) [%],9.8223,,,,
Mispredicion Bound [%],3.3090,,,,
Memory Bound [%],3.0118,,,,
