STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000040963 GHz,,,,
TABLE,Region viterbi_cpp,Group 1 Raw,BRANCH,6,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],2.821844,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,23506900000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,10676970000,,,
CPU_CLK_UNHALTED_REF,FIXC2,5618575000,,,
TOPDOWN_SLOTS,FIXC3,64061830000,,,
BR_INST_RETIRED_ALL_BRANCHES,PMC0,2180829000,,,
BR_MISP_RETIRED_ALL_BRANCHES,PMC1,130686,,,
TABLE,Region viterbi_cpp,Group 1 Metric,BRANCH,8,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],2.8218,,,,
Runtime unhalted [s],5.3384,,,,
Clock [MHz],3800.6750,,,,
CPI,0.4542,,,,
Branch rate,0.0928,,,,
Branch misprediction rate,5.559474e-06,,,,
Branch misprediction ratio,0.0001,,,,
Instructions per branch,10.7789,,,,
