STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000042038 GHz,,,,
TABLE,Region viterbi_cpp,Group 1 Raw,FLOPS_DP,8,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],2.825693,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,23506900000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,10687260000,,,
CPU_CLK_UNHALTED_REF,FIXC2,5626519000,,,
TOPDOWN_SLOTS,FIXC3,64123560000,,,
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,36000,,,
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,6335954000,,,
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0,,,
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,3710241,,,
TABLE,Region viterbi_cpp,Group 1 Metric,FLOPS_DP,10,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],2.8257,,,,
Runtime unhalted [s],5.3435,,,,
Clock [MHz],3798.9686,,,,
CPI,0.4546,,,,
DP [MFLOP/s],2252.7953,,,,
AVX DP [MFLOP/s],10.5043,,,,
AVX512 DP [MFLOP/s],10.5043,,,,
Packed [MUOPS/s],1.3258,,,,
Scalar [MUOPS/s],2242.2655,,,,
Vectorization ratio,0.0591,,,,
