STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000042343 GHz,,,,
TABLE,Region viterbi_cpp,Group 1 Raw,L2,5,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],2.823958,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,23506900000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,10682950000,,,
CPU_CLK_UNHALTED_REF,FIXC2,5623019000,,,
TOPDOWN_SLOTS,FIXC3,64097720000,,,
L1D_REPLACEMENT,PMC0,568854000,,,
TABLE,Region viterbi_cpp,Group 1 Metric,L2,6,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],2.8240,,,,
Runtime unhalted [s],5.3414,,,,
Clock [MHz],3799.8008,,,,
CPI,0.4545,,,,
L2D load bandwidth [MBytes/s],12892.0671,,,,
L2D load data volume [GBytes],36.4067,,,,
