STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000033776 GHz,,,,
TABLE,Region viterbi_cpp,Group 1 Raw,MEM,36,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],2.824790,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,23506910000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,10684840000,,,
CPU_CLK_UNHALTED_REF,FIXC2,5623996000,,,
TOPDOWN_SLOTS,FIXC3,64109070000,,,
CAS_COUNT_RD,MBOX0C0,7675291,,,
CAS_COUNT_WR,MBOX0C1,769154,,,
CAS_COUNT_RD,MBOX1C0,7634385,,,
CAS_COUNT_WR,MBOX1C1,763898,,,
CAS_COUNT_RD,MBOX2C0,240975,,,
CAS_COUNT_WR,MBOX2C1,236879,,,
CAS_COUNT_RD,MBOX3C0,241122,,,
CAS_COUNT_WR,MBOX3C1,237109,,,
CAS_COUNT_RD,MBOX4C0,234909,,,
CAS_COUNT_WR,MBOX4C1,233487,,,
CAS_COUNT_RD,MBOX5C0,235048,,,
CAS_COUNT_WR,MBOX5C1,233492,,,
CAS_COUNT_RD,MBOX6C0,231867,,,
CAS_COUNT_WR,MBOX6C1,231654,,,
CAS_COUNT_RD,MBOX7C0,231928,,,
CAS_COUNT_WR,MBOX7C1,231711,,,
CAS_COUNT_RD,MBOX8C0,-,,,
CAS_COUNT_WR,MBOX8C1,-,,,
CAS_COUNT_RD,MBOX9C0,-,,,
CAS_COUNT_WR,MBOX9C1,-,,,
CAS_COUNT_RD,MBOX10C0,-,,,
CAS_COUNT_WR,MBOX10C1,-,,,
CAS_COUNT_RD,MBOX11C0,-,,,
CAS_COUNT_WR,MBOX11C1,-,,,
CAS_COUNT_RD,MBOX12C0,-,,,
CAS_COUNT_WR,MBOX12C1,-,,,
CAS_COUNT_RD,MBOX13C0,-,,,
CAS_COUNT_WR,MBOX13C1,-,,,
CAS_COUNT_RD,MBOX14C0,-,,,
CAS_COUNT_WR,MBOX14C1,-,,,
CAS_COUNT_RD,MBOX15C0,-,,,
CAS_COUNT_WR,MBOX15C1,-,,,
TABLE,Region viterbi_cpp,Group 1 Metric,MEM,10,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],2.8248,,,,
Runtime unhalted [s],5.3423,,,,
Clock [MHz],3799.7966,,,,
CPI,0.4545,,,,
Memory read bandwidth [MBytes/s],378.9427,,,,
Memory read data volume [GBytes],1.0704,,,,
Memory write bandwidth [MBytes/s],66.5510,,,,
Memory write data volume [GBytes],0.1880,,,,
Memory bandwidth [MBytes/s],445.4937,,,,
Memory data volume [GBytes],1.2584,,,,
