STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000044554 GHz,,,,
TABLE,Region viterbi_cpp,Group 1 Raw,TMA,12,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],3.577453,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,23506900000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,10644020000,,,
CPU_CLK_UNHALTED_REF,FIXC2,7094876000,,,
TOPDOWN_SLOTS,FIXC3,63864130000,,,
RETIRING,TMA0,-,,,
BAD_SPECULATION,TMA1,-,,,
FRONTEND_BOUND,TMA2,-,,,
BACKEND_BOUND,TMA3,-,,,
TOPDOWN_BACKEND_BOUND_SLOTS,PMC0,24416980000,,,
TOPDOWN_BAD_SPEC_SLOTS,PMC1,12994250,,,
TOPDOWN_BR_MISPREDICT_SLOTS,PMC2,3437340,,,
TOPDOWN_MEMORY_BOUND_SLOTS,PMC3,1475763000,,,
TABLE,Region viterbi_cpp,Group 1 Metric,TMA,13,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],3.5775,,,,
Runtime unhalted [s],5.3219,,,,
Clock [MHz],3000.5478,,,,
CPI,0.4528,,,,
IPC,2.2085,,,,
Front End [%],0,,,,
Bad Speculation [%],0,,,,
Retiring [%],0,,,,
Back End [%],0,,,,
Back End (PMC) [%],38.2327,,,,
Bad Speculation (PMC) [%],0.0203,,,,
Mispredicion Bound [%],0.0054,,,,
Memory Bound [%],2.3108,,,,
