STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.000044334 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region viterbi_omp_opt,Group 1 Raw,BRANCH,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,
RDTSC Runtime [s],0.390959,0.387800,0.387797,0.387785,0.387802,0.387748,0.387755,0.387739,0.387744,0.387731,0.387814,0.387814,0.387772,0.387720,0.387806,0.387756,0.387812,0.387772,0.387703,0.387721,0.387707,0.387782,0.387753,0.387728,0.387737,0.387790,0.387837,0.387752,0.387724,0.387754,0.387707,0.387773,0.387694,0.387715,0.387768,0.387772,0.387775,0.387729,0.387713,0.387724,0.387736,0.387719,0.387682,0.387699,0.387699,0.387775,0.387747,0.387719,0.387691,0.387755,0.387727,0.387692,0.387701,0.387722,0.387757,0.387726,0.387693,0.387781,0.387757,0.387701,0.387715,0.387692,0.387700,0.387795,0.387736,0.387793,0.387705,0.387742,0.387761,0.387747,0.387753,0.387692,0.387761,0.387721,0.387729,0.387736,0.387829,0.387738,0.387753,0.387829,0.387758,0.387744,0.387738,0.387738,0.387832,0.387722,0.387727,0.387771,0.387727,0.387733,0.387711,0.387725,0.387681,0.387786,0.387837,0.387705,0.387738,0.387737,0.387734,0.387769,0.387817,0.387722,0.387751,0.387723,0.387710,0.387716,0.387707,0.387755,0.387735,0.387720,0.387640,0.387720,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
INSTR_RETIRED_ANY,FIXC0,207469100,207473400,207434300,207367200,207363900,207371800,207394800,207325500,207317100,207329600,203025800,202998000,202572800,202524800,202537000,202527700,207478100,207303800,207310300,207305200,207337900,207362700,207384800,207450400,207367600,207436100,207429000,207459400,207454600,207442800,207468800,207418200,207445300,207367400,207411800,207469700,207473000,207372100,207386800,207436400,207372900,207379000,207452900,207324600,207408800,207403500,207403500,207389500,207455800,207445900,207370400,207319900,207432900,207416200,207413600,207334400,207456400,207460900,207465100,203021800,202569600,202570700,202993400,202999700,202546200,202571700,202561300,202571900,202582600,202575400,203026900,207282300,202590400,203068400,207241900,202989700,207238600,203036700,207223700,207262600,203026800,203010600,207251900,203051900,207264800,207274000,203053700,207437000,207275600,207229400,203016800,207271800,202570000,202558200,207284300,202546200,207280200,207263600,207275800,202980800,207284300,207247200,207269900,202530500,203049600,202520500,202536900,207240200,202541600,207390900,203021500,207280000
CPU_CLK_UNHALTED_CORE,FIXC1,113829100,112947400,110032100,107740100,107178800,106495700,106243500,106792000,106726800,107010300,100533900,99418300,99852100,97301100,97884260,97339890,112823500,110733000,109280600,107778500,107639700,107651000,108240400,111699600,107565700,110326900,108851500,112433700,109466600,111947700,113664700,109656800,110804100,108535400,109072000,112596400,113928700,108523900,108581900,110540100,108542700,109023300,110084600,108530400,109777800,110927200,110587700,109578700,112318800,112377300,109172400,108645600,113240600,111264700,111512300,108786100,116375700,118300100,115426500,98151920,97526380,96823360,98114270,97124160,97244680,97455620,97260190,97298530,97143010,97024810,97441920,113847900,96895580,97258730,111697500,97537650,112363800,97854610,112570600,112402400,97943390,97517590,111534900,97633100,113261200,114849200,97470600,117093000,113019400,113116000,97562190,113225800,96939300,97377030,113424000,97108720,114581800,112795300,112264800,97545720,114223100,111437500,111865200,97695520,97130030,97985580,97425820,111950900,97483660,117374300,97100190,116452500
CPU_CLK_UNHALTED_REF,FIXC2,75875520,75285200,73343680,71812000,71441600,70981680,70817120,71177520,71140960,71328400,67009920,66270560,66557920,64858800,65244960,64879760,75205840,73809040,72840800,71835360,71752640,71754080,72148960,74453440,71694000,73541920,72560240,74941520,72967360,74618400,75763360,73090640,73856400,72344720,72704160,75056960,75946240,72340480,72374720,73680720,72348800,72671040,73377680,72337440,73167920,73941600,73710240,73038800,74867040,74904480,72770400,72418800,75477520,74164480,74331040,72515040,77571600,78857360,76940240,65424320,65007520,64537360,65396320,64733760,64815280,64963280,64833600,64855360,64747440,64671840,64948000,75908240,64585120,64831680,74453280,65014800,74898880,65226080,75033600,74925600,65298480,65006320,74345200,65080000,75500640,76558400,64972640,78052400,75338880,75397040,65036400,75473520,64617760,64908000,75608880,64731760,76376080,75171280,74833760,65020560,76137840,74287760,74562160,65123680,64740720,65313040,64941760,74619840,64979200,78242160,64720080,77624800
TOPDOWN_SLOTS,FIXC3,682986700,677697000,660224300,646451600,643086400,638933400,637458600,640723400,640386100,642042500,603224600,596518400,599132100,583769400,587297400,584061900,676969200,664400400,655674300,646681900,645805300,645923900,649467100,670193900,645400300,662013300,653186900,674606700,656833400,671688600,681985200,657947000,664825700,651187600,654395200,675598000,683566400,651144000,651490300,663231300,651230600,654157500,660492800,651156600,658619100,665542400,663533100,657474300,673922800,674248400,655033500,651858100,679393500,667557800,669072500,652723300,698268800,709863400,692581000,588826400,585115700,580935100,588674500,582755300,583436700,584739500,583530800,583770800,582852300,582148500,584691000,683039400,581298600,583524500,670129200,585224400,674224100,587121700,675419200,674425500,587699800,585149600,669208900,585793200,679616700,689170500,584833200,702645900,678214900,678582300,585451000,679358800,581620400,584259300,680608000,582696200,687485900,676657000,673598600,585218800,685348600,668722400,671173100,586206300,582795000,587923500,584591000,671654600,584791300,704194800,582563900,698752100
BR_INST_RETIRED_ALL_BRANCHES,PMC0,21941540,21942840,21938340,21934450,21935020,21938770,21945960,21930530,21929350,21928120,21020870,21019490,20974880,20970840,20971560,20970700,21944570,21924810,21928060,21926530,21929030,21935530,21937090,21941280,21935020,21938990,21935500,21941810,21939900,21940190,21944120,21936810,21940440,21934130,21936400,21942630,21942730,21933480,21937120,21940190,21931570,21934900,21939150,21928660,21935680,21937730,21934870,21935670,21941990,21939190,21932540,21926430,21935650,21936390,21933630,21929340,21938040,21946630,21937830,21020400,20975630,20975330,21017410,21018420,20973030,20975110,20975620,20973870,20980070,20977100,21019600,21922780,20978760,21032390,21920310,21017710,21919960,21023330,21917570,21923570,21022600,21020890,21921170,21025440,21922880,21919130,21026760,21938740,21924390,21918080,21022020,21920940,20976450,20974170,21925620,20972470,21922310,21923580,21926070,21015980,21925190,21923090,21924730,20970760,21023920,20969190,20970890,21922060,20973550,21931560,21022440,21921000
BR_MISP_RETIRED_ALL_BRANCHES,PMC1,8702,9816,13434,10794,10841,10303,11010,10670,9783,13535,7001,6936,7185,5807,7089,6204,10414,12406,11834,10806,9685,10862,10377,10968,10026,12155,13844,11086,11783,11653,10673,12502,11941,10686,11753,10846,11275,11293,10436,12411,15634,10060,13458,9608,12788,11172,13880,11113,11438,9972,11209,11294,14886,12459,14449,10907,10575,11466,9787,6128,7122,6026,7176,5748,6970,7011,6752,5993,5588,6317,6193,11075,7117,7501,9573,5849,10540,7020,10478,10383,7047,7030,10405,6805,10711,11258,6743,9603,10731,10373,6938,10241,6976,7497,11469,7335,10186,8245,10601,7087,10720,10563,9286,5793,5986,7021,6025,10208,6970,10656,5763,12722
