STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.000045163 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region viterbi_omp_opt,Group 1 Raw,L2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,
RDTSC Runtime [s],0.394134,0.394112,0.394159,0.393789,0.393785,0.393797,0.393819,0.393789,0.393727,0.393769,0.393863,0.393840,0.393825,0.393828,0.394042,0.393809,0.394102,0.393846,0.394083,0.393799,0.394129,0.394049,0.394097,0.393794,0.394088,0.394095,0.393745,0.394098,0.393802,0.393830,0.393847,0.393669,0.393823,0.393809,0.393818,0.393793,0.393798,0.393766,0.393810,0.393750,0.394115,0.393729,0.393766,0.393795,0.393804,0.393774,0.393808,0.393717,0.393751,0.393793,0.393763,0.393755,0.393743,0.393808,0.393787,0.393775,0.393654,0.393720,0.393701,0.393685,0.393696,0.393718,0.393621,0.393790,0.393685,0.393662,0.393694,0.393614,0.393663,0.393714,0.393662,0.393698,0.393689,0.393659,0.393724,0.393652,0.393692,0.393651,0.393710,0.393711,0.393684,0.393720,0.393761,0.393699,0.393719,0.393682,0.394135,0.393678,0.393725,0.393715,0.393711,0.393646,0.393698,0.393714,0.393698,0.393719,0.393695,0.393644,0.393661,0.393664,0.393611,0.393676,0.393687,0.393698,0.393660,0.393683,0.393678,0.393635,0.393645,0.393619,0.393699,0.393881,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
INSTR_RETIRED_ANY,FIXC0,207475600,207494100,207494200,207366200,207354800,207341800,207327000,207335500,207314700,207339700,203033200,203026900,203032300,202987200,202564200,202517700,202534600,202530800,207310100,207482900,207285000,207302400,207296600,207307900,207318800,207423500,207467800,207446900,207451700,207420900,207384600,207450800,207337600,207409700,207404300,207435300,207456800,207328300,207432400,207412100,207418500,207478900,207387600,207370900,207362800,207433000,207354300,207398000,207450900,207448100,207481000,207472800,207367700,207383100,207461800,207342900,207312100,207419800,207428800,207352400,207415300,207389300,207427900,207445600,202572100,207278600,207435000,202576000,202569900,202585400,202575100,203002900,202560200,203020900,202987200,207350900,207236300,202589600,207244900,207263700,207247200,202549000,207235800,207257600,207258100,207248400,207276200,202567400,203028700,207276800,203032800,207262000,207280500,203056800,203053100,203049000,202993600,207277700,203017100,203022300,202538800,207266600,203016000,202582100,207239100,202523700,202533500,202531300,202544700,207259300,202560400,203016800
CPU_CLK_UNHALTED_CORE,FIXC1,113729000,112690200,110510500,109979000,110805800,110466000,109673600,109087100,108362600,108778800,99005940,99568910,97782570,99404550,100304100,97633100,98441890,98068130,109151200,111617200,112382900,111328200,110434300,109557800,109303000,110706800,111881500,112505400,111917000,111713800,111633700,110853000,112111800,113295500,113270700,113780700,114791600,110667200,111655900,112339900,112752600,112338100,112530100,114122000,113137200,114061400,111674400,112887100,113420500,113645100,113288800,114337600,112061400,113039500,113750800,114245100,119957100,117963900,118131900,120200800,118610700,117725100,116804400,116996100,97006690,116445600,116778900,97266560,97349160,97205590,97558010,97169540,97559760,98126290,97567990,119790500,113742400,96943620,112996600,113429400,113313000,97345490,113190400,113611500,111459700,113146500,114462500,97723930,98662910,113956300,98783680,114949100,114752800,98027500,98444730,97598080,98110550,115756700,97586030,97546160,97295720,112815300,97442440,97481160,113161900,98539880,97895120,98274770,97689300,112907500,97091300,97640300
CPU_CLK_UNHALTED_REF,FIXC2,75808000,75122400,73656080,73313760,73857520,73644160,73105360,72713920,72231200,72509200,65991760,66368000,65176000,66254240,66853680,65074080,65623120,65368640,72756080,74398480,74910000,74207200,73610880,73030640,72858640,73792480,74572400,74987760,74601360,74461680,74415120,73891600,74730640,75524240,75500080,75846080,76518560,73770720,74425280,74882080,75158320,74882560,75010960,76070640,75412640,76033120,74441040,75247920,75602080,75753040,75518480,76212240,74695360,75352400,75822800,76154640,79958480,78637920,78740560,80117760,79055120,78468000,77856000,77985440,64655520,77618720,77840240,64833600,64889680,64796560,65029360,64769520,65033680,65408080,65045680,79848480,75813440,64616800,75317440,75610480,75531760,64888560,75448080,75729120,74294720,75420400,76296720,65137920,65767920,75960320,65846400,76616480,76498240,65336960,65621200,65055440,65397040,77160000,65048000,65022640,64854080,75199280,64959360,64978240,75433440,65692400,65254480,65505760,65117920,75256560,64722240,65079280
TOPDOWN_SLOTS,FIXC3,682386600,676193800,663071300,659931500,664837600,662886900,658077800,654533200,650171300,652683400,594060100,597422400,586717800,596431000,601823300,585813300,590677800,588417000,654903900,669724000,674326100,667966100,662619600,657357600,655851700,664288200,671284400,675043900,671539700,670284700,669844600,665151900,672705400,679801600,679631000,682705200,688763800,664007200,669948500,674059300,676564800,674021400,675192900,684735800,678830700,684381000,670134700,677313000,680557200,681911400,679748800,686030300,672378600,678311400,682523200,685474700,719740600,707871900,708798600,721209500,711688500,706349800,700817800,701976500,582050100,698670200,700686400,583590200,584110400,583298800,585350200,583016800,585356000,588776100,585457600,718743500,682470100,581666700,677979700,680570200,679883600,584071600,679173100,681751600,668758800,678881300,686772400,586359700,591993600,683737100,592701500,689695700,688590500,588161400,590693200,585582800,588665600,694530800,585536100,585277100,583768200,676909100,584715300,584900300,678967900,591324900,587423900,589652000,586138200,677432000,582625300,585831600
L1D_REPLACEMENT,PMC0,5401946,5423221,5399193,5397142,5407329,5410175,5404801,5409683,5394478,5412315,5136819,5157488,5132470,5154690,5141631,5119177,5133741,5129733,5401273,5414417,5394071,5413892,5409264,5415816,5413249,5412026,5422555,5424102,5411081,5387571,5399355,5410070,5411780,5413926,5393456,5413467,5414794,5396078,5398040,5395687,5418911,5389633,5409556,5410223,5413221,5392149,5409585,5419341,5396779,5414410,5415895,5416315,5408597,5409402,5424160,5393673,5390782,5419051,5415147,5388100,5420367,5405894,5393686,5388699,5132901,5401294,5409738,5118321,5136800,5119941,5146767,5131416,5133337,5152620,5149270,5405123,5418030,5138397,5394759,5413429,5403657,5143961,5414800,5391595,5383400,5397953,5402743,5144178,5154096,5410301,5145644,5400936,5393402,5149593,5155965,5129805,5129140,5404444,5128228,5165617,5147156,5401256,5155194,5118545,5424118,5134063,5136049,5122536,5121610,5383354,5116823,5159574
TABLE,Region viterbi_omp_opt,Group 1 Raw STAT,L2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
