STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.000045275 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region viterbi_omp_opt,Group 1 Raw,L3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,
RDTSC Runtime [s],0.397411,0.394575,0.394544,0.394538,0.394564,0.394592,0.394557,0.394693,0.394539,0.394561,0.394576,0.394545,0.394593,0.394616,0.394571,0.394684,0.394556,0.394562,0.394544,0.394544,0.394581,0.394541,0.394535,0.394539,0.394520,0.394568,0.394580,0.394549,0.394600,0.394533,0.394651,0.394535,0.394591,0.394592,0.394548,0.394605,0.394590,0.394569,0.394577,0.394534,0.394585,0.394588,0.394546,0.394635,0.394606,0.394565,0.394588,0.394578,0.394584,0.394563,0.394572,0.394586,0.394589,0.394568,0.394545,0.394603,0.394622,0.394633,0.394543,0.394580,0.394587,0.394582,0.394614,0.394587,0.394670,0.394609,0.394695,0.394571,0.394666,0.395106,0.394690,0.394624,0.394588,0.394616,0.394572,0.394566,0.394604,0.394586,0.394540,0.394534,0.394593,0.394551,0.394611,0.394566,0.394659,0.394593,0.394591,0.394656,0.394592,0.394605,0.394568,0.394706,0.394639,0.394626,0.394586,0.394590,0.394570,0.394577,0.394566,0.394708,0.394556,0.394597,0.394634,0.394586,0.394591,0.394605,0.394571,0.394568,0.394608,0.394607,0.394585,0.394551,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
INSTR_RETIRED_ANY,FIXC0,207475800,207485500,207492900,207362700,207370200,207393600,208037300,207342200,207340900,207308900,203040300,203029100,202997100,202514400,202525100,202544900,207477600,207475400,207468400,207481200,207296400,207383800,207416800,207343900,207443100,207415700,207420500,207378300,207403100,207433800,207439500,207440900,207442600,207469300,207334000,207452200,207364200,207446000,207458400,207382600,207361400,207456700,207376600,207442200,207448900,207374300,207330300,207464500,207414000,207382800,207393900,207447200,207324500,207344500,207426500,207385300,207375200,207422600,207386700,202556300,202568000,202996200,202589600,202570800,203011200,202543600,207285100,202581500,203062100,202554900,203002100,202570000,207281100,202613400,202575200,207252200,203051800,207262900,207261000,207257300,207286600,207248000,207280900,203057500,207237800,207230000,207289700,203016400,207256700,203027200,207292000,207237300,202996600,203029000,207275200,203022100,202552700,203015700,207274300,202561200,207294500,207297900,203039500,203017200,207235500,207233200,202528800,202521000,202526400,202535600,202535100,207269100
CPU_CLK_UNHALTED_CORE,FIXC1,114024200,112052700,109657400,107998000,107450000,107809600,108485600,108621500,108621200,108537100,99280540,99704090,100038900,97487030,98061580,99851470,109997500,110248300,110884700,111348100,110634800,108873300,109491700,108426900,109488900,110730700,108980400,108557400,109758400,110279100,109914000,111366700,109368600,110577900,108668500,109881900,110092100,110637800,110317500,109064100,109756100,110896100,109729300,111210500,110971600,110919900,109167400,112087200,112078100,110067700,110579300,111223200,109825900,109670000,111040200,112458700,120395500,118701300,117521800,97588870,96906780,97676420,97149670,97408780,97026690,97771260,113010900,97437470,97326770,97216070,98180300,97204770,113100200,97115400,97318230,111622200,98297980,111496100,112681500,111884000,113739100,111892100,114075900,97626400,113135200,113332000,114417800,98239680,112211200,97952610,115933800,111976300,97818430,97968230,113261300,97660220,97416080,97982230,112521700,97380660,115616600,117211400,98213700,97614260,112518800,111953200,98289220,98763150,97924040,97741080,97598580,112839400
CPU_CLK_UNHALTED_REF,FIXC2,76010240,74689840,73085280,71987120,71622560,71865200,72311680,72402960,72393840,72349200,66185200,66461520,66678080,64982880,65371360,66559600,73319120,73494160,73905600,74218000,73757440,72562400,72979040,72262960,72979600,73816480,72636560,72351520,73160560,73506880,73270800,74226480,72895280,73705760,72430160,73248400,73388960,73749680,73552080,72697040,73158160,73921120,73146080,74127440,73968000,73939760,72788400,74715200,74715120,73366160,73713600,74141120,73203760,73103360,74017360,74959200,80248640,79121680,78334160,65049840,64591520,65106240,64757120,64932400,64671920,65168000,75327360,64948720,64872880,64802480,65447280,64792560,75392000,64735840,64865200,74403680,65523840,74323440,75107040,74577760,75816240,74579520,76041920,65070720,75413280,75545120,76267120,65485840,74796560,65292800,77273120,74638400,65202080,65300480,75493200,65096720,64932720,65315120,75003040,64911520,77065680,78130160,65467520,65067280,75002960,74623600,65515360,65828640,65272880,65151760,65061040,75211440
TOPDOWN_SLOTS,FIXC3,684204800,672320800,657891300,648015000,644694000,646890000,650938800,651825900,651674300,651245100,595758200,598152900,600193600,584945000,588467200,599162400,659979500,661669200,665225200,667983600,663958400,653180700,656899500,650515700,656958900,664531900,653855700,651293800,658543400,661656200,659546900,668157800,656144300,663448600,651938200,659325100,660559700,663835000,662011900,654378800,658473500,665376900,658391300,667254100,665799200,665547700,655199900,672527900,672550900,660411500,663532100,667370200,658886000,657953300,666237100,674743900,722383100,712221700,705110000,585567700,581433200,586070900,582914600,584522300,582193200,586625800,678062600,584630000,583961800,583356600,589089800,583230900,678608400,582697100,583917300,669738900,589793600,668975100,676061800,671284200,682441300,671354100,684522400,585732500,678828800,679982000,686500700,589429800,673272200,587756400,695591400,671865000,586928100,587782500,679561400,585967300,584483200,587868000,675120200,584278700,693683500,703270400,589304400,585701100,675116600,671710700,589740700,592535300,587525900,586442700,585631000,677022100
L2_LINES_IN_ALL,PMC0,898497,1063694,941414,1062898,950293,1064876,1104421,1101184,1115220,942761,608580,610131,556487,533216,604581,583394,1037501,933003,1085660,1075159,1087671,966060,1068851,1098632,921555,1030971,945514,1065342,1071059,1061409,924328,1077361,945518,1041096,1092329,1051184,1066240,1073184,1047545,1079162,1080992,1070919,935999,1046685,920380,1057376,943784,1070249,1057001,1059729,1046241,912953,936400,943790,1046393,1066116,932410,1069488,927355,615268,548949,613724,573344,597910,502267,614856,953668,582180,546026,587647,596156,514818,975298,516656,558820,1141943,613111,959602,1122344,1046456,1114939,984354,1095647,523309,1058923,1115898,1116454,588929,980364,510109,1097254,1131312,528679,511922,1119364,575924,551869,577228,1112345,554941,964359,1100682,582846,558008,1079163,983798,548018,565442,538070,565549,539425,1093962
L2_LINES_OUT_SILENT,PMC2,888218,1058673,934686,1057494,946570,1060214,1099191,1095680,1109662,938262,603320,604542,552665,529652,598987,579614,1032612,928640,1080752,1070611,1083425,961521,1064113,1093671,917077,1026075,940746,1060150,1066324,1057368,920674,1072384,940450,1036341,1088348,1046982,1062212,1069005,1043477,1074253,1075953,1066899,931825,1042119,916017,1052564,939691,1065605,1052879,1055307,1041606,908922,932167,939820,1041846,1062188,928109,1064748,923147,610570,544352,608817,568315,592868,498219,609291,949551,577534,541090,582393,591708,510487,970888,511437,554329,1137357,608140,955107,1117843,1041866,1109868,979600,1091054,518774,1054530,1111101,1112030,584326,975888,505603,1092726,1125730,524756,507651,1114687,570807,547319,572571,1107669,550745,959938,1096205,578425,554584,1074614,979236,543343,560541,533170,560715,535555,1089486
L2_LINES_OUT_NON_SILENT,PMC3,6758,1563,3269,1774,289,1119,1602,1936,2042,997,1776,2111,366,143,2129,308,1441,851,1424,1063,775,1157,1276,1413,1004,1472,1268,1654,1211,522,164,1404,1603,1262,510,642,526,595,537,1382,1551,508,694,1127,888,1347,624,1159,634,960,1144,551,751,456,1079,483,843,1381,773,1195,1077,1538,1535,1524,678,2331,575,1178,1436,1875,1045,825,879,1773,982,1059,1505,1091,1084,1071,1553,1277,1088,1206,888,1299,1155,1099,923,984,1029,2060,876,765,1171,1613,1054,1148,1127,814,919,944,988,416,1248,1215,1254,1387,1449,1434,641,1074
