STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.000032723 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region viterbi_omp_opt,Group 1 Raw,MEM,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,
RDTSC Runtime [s],0.390187,0.387746,0.387656,0.387599,0.387607,0.387692,0.387684,0.387630,0.387652,0.387615,0.387625,0.387656,0.387749,0.387569,0.387723,0.387719,0.387633,0.387613,0.387671,0.387680,0.387757,0.387736,0.387670,0.387700,0.387600,0.387639,0.387715,0.387667,0.387747,0.387662,0.387736,0.387633,0.387692,0.387640,0.387675,0.387701,0.387698,0.387660,0.387633,0.387638,0.387616,0.387663,0.387709,0.387752,0.387616,0.387735,0.387719,0.387776,0.387720,0.387686,0.387605,0.387711,0.387625,0.387706,0.387613,0.387585,0.387435,0.387617,0.387679,0.387644,0.387687,0.387629,0.387671,0.387628,0.387677,0.387595,0.387650,0.387611,0.387637,0.387655,0.387630,0.387670,0.387646,0.387746,0.387637,0.387595,0.387643,0.387653,0.387603,0.387593,0.387669,0.387640,0.387655,0.387567,0.387647,0.387644,0.387667,0.387662,0.387660,0.387820,0.387582,0.387632,0.387619,0.387611,0.387632,0.387657,0.387613,0.387617,0.387649,0.387646,0.387632,0.387557,0.387625,0.387590,0.387617,0.387664,0.387605,0.387614,0.387621,0.387601,0.387632,0.387582,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
INSTR_RETIRED_ANY,FIXC0,207471000,207482200,207492700,207364500,207357200,207433400,207352500,207400800,207337600,207272600,203044400,203029700,203024900,202993900,202519000,202535100,202522000,207478900,207301700,207384600,207424900,207404800,207388800,207378000,207379800,207441400,207354800,207448200,207438300,207426600,207332100,207363700,207427800,207387700,207448200,207453600,207438500,207376700,207448300,207378200,207412000,207462000,207447000,207409700,207398100,207439000,207419500,207446400,207425900,207334100,207408800,207471100,207375800,207450100,207439400,207330000,207466900,203001600,207459900,202568700,202578800,202553900,203016300,202580400,207458800,202549600,202585200,202571200,203030800,202586200,203019200,202984400,202568400,207363900,203031000,202992000,207297300,207276000,207243400,207260500,203023300,203028500,207464700,207294500,203054400,207282000,207292200,207257700,207256100,207283100,202579400,207302400,202549700,203049300,202550700,207237200,207244300,207228000,202567400,202520300,207261900,207276200,207266600,203029300,203005800,202552000,202537300,207243500,207286900,207269600,207299700,202537300
CPU_CLK_UNHALTED_CORE,FIXC1,113721400,113768700,113112600,107294200,106204000,107045900,108420200,108663800,109298400,115664000,99935070,99364350,98743990,100838700,98152940,98754890,98346480,113209000,111283400,108140300,108053400,109400200,107411700,108208800,107280700,110126600,107394800,113525000,110561700,110095400,108947900,108645800,110043400,108719400,112084600,114855200,110917400,109135000,109151300,107736800,108519300,110811200,110885700,111321300,109994200,109393400,109479600,113048100,110426000,108785300,110328500,115896100,109928600,113430200,113300500,110147200,114690000,98431410,116943300,97254880,97437750,97228000,98065280,97837430,116771800,97437470,97501500,97907400,98030100,97366360,97671520,98337490,98020520,111948200,98655380,97909280,115544600,112556000,112437100,111511600,98137830,98166300,115884800,114849800,97233010,113529800,114464200,112556600,112634500,113557200,96965110,116005500,97675540,98169360,97733110,112973600,111852600,112701700,96911360,98680760,112932300,117699900,113248800,98687230,97346530,97856280,98167180,111797700,114613600,114329800,114947500,97693060
CPU_CLK_UNHALTED_REF,FIXC2,75798880,75835920,75397440,71514320,70788160,71350560,72273760,72429600,72852400,77096480,66613440,66229440,65821040,67210000,65426480,65827520,65556160,75460560,74181360,72081120,72024800,72933200,71595520,72128240,71503600,73406800,71588960,75666640,73699200,73385680,72620480,72417520,73348080,72469680,74712720,76560240,73933520,72745440,72755440,71817280,72334560,73863040,73912000,74202080,73318240,72922880,72979200,75360560,73611600,72515360,73537200,77253520,73275120,75611120,75523360,73414000,76444320,65606640,77945360,64820480,64944240,64806240,65367920,65214800,77838560,64945440,64990960,65257840,65339520,64900400,65107680,65551200,65340480,74617600,65763200,65260640,77022560,75030640,74945680,74332320,65420400,65435680,77242320,76551520,64812560,75674800,76293520,75029600,75076880,75690560,64629600,77325840,65107280,65430800,65146400,75309040,74562160,75119600,64600480,65774560,75276720,78454160,75488400,65779440,64892560,65222400,65433120,74524800,76401280,76208640,76623920,65118720
TOPDOWN_SLOTS,FIXC3,682326200,682630000,678697300,643759800,637234900,642280900,650580400,651987900,655765300,693976100,599598300,596134100,592489400,604984300,588955000,592555800,590072800,679243800,667771000,648866400,648340500,656411900,644461800,649279600,643648200,660776700,644414700,681191200,663402600,660594200,653700200,651881700,660255700,652368900,672541500,689174800,665531100,654833600,654917700,646464600,651077300,664903100,665320200,667950600,659956800,656386800,656907900,678320800,662586000,652758100,661949000,695410300,659555000,680594000,679785700,660826800,688029200,590553300,701658600,583490800,584632700,583368300,588390400,586969100,700656700,584631600,585006400,587382000,588204300,584194200,586030900,590054700,588162900,671668100,591966700,587447600,693226500,675336500,674618200,669117000,588734900,588991100,695322600,689069800,583387100,681162300,686776600,675318600,675806700,681339200,581737900,696083500,586058600,588973700,586381600,677841100,671141800,676117100,581493000,592063100,677578000,706155400,679495000,592111700,584103700,587067600,589013300,670843100,687686000,685982000,689768000,586139400
CAS_COUNT_RD,MBOX0C0,10684650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,10673000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,10726900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
