STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.000041731 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region viterbi_omp_opt,Group 1 Raw,TMA,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,
RDTSC Runtime [s],0.403613,0.401797,0.401808,0.401828,0.401756,0.401805,0.401757,0.401747,0.401818,0.401792,0.401767,0.401792,0.401875,0.401813,0.401808,0.401745,0.401803,0.401791,0.401901,0.401852,0.401870,0.403580,0.401804,0.401806,0.401767,0.401836,0.401816,0.401781,0.401790,0.401798,0.401776,0.401819,0.401784,0.401767,0.401793,0.401847,0.401828,0.401755,0.401817,0.401746,0.401852,0.401824,0.401849,0.401833,0.401809,0.401805,0.401804,0.401851,0.401777,0.401785,0.401841,0.401884,0.401777,0.401807,0.401787,0.401819,0.401841,0.401724,0.401788,0.401781,0.401803,0.401772,0.401758,0.401790,0.401708,0.401739,0.401793,0.401792,0.401751,0.401697,0.401796,0.401895,0.401781,0.401794,0.401751,0.401727,0.401794,0.401741,0.401797,0.401724,0.401760,0.401767,0.401743,0.401774,0.401743,0.401757,0.401734,0.401733,0.401771,0.401778,0.401771,0.401743,0.401785,0.401777,0.401796,0.401760,0.401829,0.401774,0.401741,0.401788,0.401741,0.401780,0.401716,0.401757,0.401726,0.401730,0.401745,0.401717,0.401744,0.401745,0.401690,0.401741,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
INSTR_RETIRED_ANY,FIXC0,207487100,207489700,207462800,207474900,207498300,207458400,207450000,207461500,207448700,207424500,207494300,207438700,207476500,207428400,207400200,207417700,207417600,207390800,207475600,207467900,207489300,207450500,207491600,207384300,207439500,207461400,207364700,207451600,207357900,207329100,207449000,207431200,207411600,207386800,207424200,207301300,207396200,207288800,207299600,207273400,207260100,207252000,207372400,207231200,207240900,207352600,207460200,207227000,207225700,207423100,207354600,203028900,203039700,203021200,207318800,207324300,203004100,207297100,207291500,207324300,202999100,207328000,202990700,202984700,202589700,202989800,202520400,202566200,202601600,202664700,202539700,202529400,202541700,207316400,207255400,207245300,207233400,207254400,203050500,203042200,203034600,207321500,207446300,203016900,203019500,203016100,207294300,207286700,207361600,202566200,207278600,202571800,207347800,207254200,202555100,202554400,202535300,202529800,202554500,203023700,207273300,207315500,202569500,202582000,203017400,203046100,202546500,207252100,202573700,202551300,207292900,207287300
CPU_CLK_UNHALTED_CORE,FIXC1,112244500,112283800,108719300,110909200,109065300,108334000,107115300,106679700,107165400,106718400,109106100,107587200,109245400,106112100,107396600,106739500,107231600,108070900,110075100,108121200,110699400,107966500,110483900,108175100,106757400,108504000,109836200,108464100,110849300,114156200,109639500,107947700,107320300,107455700,107798300,114649900,107952300,115258400,116023400,115245900,115600200,116779300,109306100,116760700,116357900,111758200,110077100,116429700,115014100,107848300,112286800,98728280,99700390,99151740,114228300,114497400,97403790,117359300,116509700,116584000,97923320,117365700,97358210,97202200,97290660,97681230,97795320,97069970,97582800,96973190,97384480,97718740,97312440,115586600,116324200,115399400,114586300,114044800,98557680,98576780,99134030,116692200,118080700,99002490,97894460,97228960,115736600,114587700,116354800,97432390,114337800,97065440,118663600,113740800,97385340,97289420,96849620,97766790,97478420,97527100,115778600,116489000,96972450,97006360,97424440,97845770,97173650,114613600,96792710,96864280,115164200,114369700
CPU_CLK_UNHALTED_REF,FIXC2,74821520,74845680,72470240,73928880,72704080,72210400,71396000,71107440,71434400,71134080,72722160,71714320,72818080,70730640,71585840,71141680,71482080,72042320,73367120,72066800,73786960,71967600,73643440,72109680,71155200,72323840,73213600,72297920,73889760,76090240,73080240,71952800,71534400,71619520,71858080,76423600,71954240,76825280,77334880,76818400,77057040,77847680,72863120,77833760,77563200,74494960,73374320,77623360,76672240,71893440,74850080,65806320,66454560,66095120,76143360,76322640,64931280,78221120,77660960,77704480,65270240,78231760,64891920,64792000,64846080,65107920,65188560,64701040,65037680,64630480,64911600,65135360,64863920,77039600,77534000,76916880,76378560,76017120,65689520,65710800,66077280,77777920,78707680,65988720,65248240,64810640,77144320,76383280,77554080,64943840,76214640,64697040,79100720,75813600,64909360,64854960,64557760,65169840,64977920,65010640,77176880,77652160,64637120,64654400,64941760,65218560,64774000,76395120,64515120,64565680,76762240,76229920
TOPDOWN_SLOTS,FIXC3,673482800,673757100,652338600,665561000,654404800,649987600,642654400,640039600,643009800,640337700,654638100,645566300,655479800,636663100,644440200,640401500,643416400,648475400,660529700,648723400,664225100,647852800,662955800,649086700,640555000,651060000,659002300,650790600,665093400,684941700,657861100,647707900,643922300,644760300,646821700,687940300,647707600,691541800,696152100,691447900,693637000,700733400,655852400,700612200,698201200,670559200,660489900,698750900,690150400,647134600,673740200,592355700,598160200,594913200,685390600,686985100,584464300,704155100,699043600,699446700,587524500,704223000,584157400,583211200,583733200,586094700,586759200,582436800,585503700,581797900,584311700,586317600,583884300,693458200,697854100,692382100,687498000,684228700,591282600,591438200,594783200,700154500,708458700,593998100,587328700,583377000,694411600,687514200,698137000,584607800,685912200,582397100,711962900,682466000,584320400,583778400,581107800,586600200,584857500,585147100,694665300,698920800,581828900,582029600,584528800,587061500,583028800,687655800,580727400,581200700,690956200,686208000
RETIRING,TMA0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BAD_SPECULATION,TMA1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FRONTEND_BOUND,TMA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BACKEND_BOUND,TMA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOPDOWN_BACKEND_BOUND_SLOTS,PMC0,311554800,314392800,295242400,308184200,298491900,295117700,289169300,287703300,289310400,286309100,297578300,288712200,297825400,283489800,289194700,284150400,289288400,290144500,302368800,291691000,304529400,292138800,304497700,294247800,288164700,296718100,300780300,297049900,308807800,322198300,301251900,293727500,291298000,291006800,292451600,320854500,293936200,323434600,325937800,324621300,324927200,331331500,296691000,330630900,326957400,305691700,302252300,330323900,320742400,289127500,310466200,258860400,262977500,261370500,321916500,322474200,254732100,336649300,330767000,332680100,254747900,336706700,252860200,250269500,251265700,253933900,253380900,250745600,252510200,250150300,248273500,249287000,246226100,323897300,327940300,322446600,320523600,315674400,259473700,259104200,262046100,333178700,338648100,261245200,255216000,252631100,329029000,322887800,331423900,253604600,317936200,250160800,343398400,315753400,251786700,246052200,245116400,249692100,247249000,247156900,325638800,334018600,251692800,252178000,254095300,255796800,253672600,323075600,250160200,252078200,328447000,325867100
TOPDOWN_BAD_SPEC_SLOTS,PMC1,605246,668071,790698,814080,702638,835818,853559,957849,916551,726444,784038,1018225,805421,893890,759440,930075,1033456,740013,788947,841959,698650,1038920,848028,812189,1021123,833078,765024,703386,748590,782823,852388,901416,777174,739129,985994,711736,736606,920422,820801,729154,754329,768773,804333,693448,808922,743705,709864,725355,715366,752876,732907,348467,394452,361493,723679,770913,358002,731891,748866,1001745,394315,684026,390940,353026,399132,380866,315122,330728,405529,442343,317228,349468,378780,844674,749799,768470,689564,680756,396134,397003,391158,755542,800365,374830,381955,388199,873289,754232,1133686,391322,762293,398761,749742,696835,396082,388439,322641,376475,374789,395750,794439,796664,411909,394474,347338,356140,403862,681395,328258,322605,741543,760487
TOPDOWN_BR_MISPREDICT_SLOTS,PMC2,168664,213735,247240,247984,220184,258470,280593,299436,283759,226544,244118,319336,250471,278788,227183,298808,338378,232052,244334,260461,216601,351789,249132,243576,305362,254956,226302,211043,218427,247240,271522,294919,239867,229703,309386,221386,228096,278153,251751,222697,225096,230034,242006,209087,252244,228769,224512,225518,221039,232254,232334,101316,114377,104910,202369,228473,104392,230141,234437,327471,117672,213290,112735,100012,120289,111570,86672,94829,116797,88163,97842,109389,116032,263833,224185,229900,210294,206265,113170,116109,112584,220826,250072,107022,118600,118694,287380,242568,354542,118777,231582,113210,223614,213432,124139,118909,94762,117526,117386,121875,250443,226082,115809,114825,101180,104346,115087,216064,96955,94390,237797,245544
TOPDOWN_MEMORY_BOUND_SLOTS,PMC3,69805170,70080080,57760940,65598940,59517310,54803950,53058680,53229200,53114390,51476260,60724810,52207970,58048120,50382560,51473770,49741810,51222350,52535530,60171970,54215190,60893440,53088430,60952450,54865190,51580250,56544010,61638540,55229450,62571220,74846480,60506780,57179840,54010190,54793600,53394500,77072710,55800480,76680560,76969190,74462240,73866530,78199220,58079230,78292920,77180520,64102190,59912980,78111690,75883900,53183480,66567530,33497110,34343770,34698070,75052390,73991290,27759250,86450150,85336800,82262710,33214330,87002390,31575360,29157790,29788740,31233160,31894520,29504230,31151530,29637920,25198920,25488470,24816940,75088010,76297240,73497010,70729690,70873820,29912620,29490040,31740950,78832360,82788540,30244730,33139520,30529030,81192410,75843100,81728990,32465450,70884160,29134200,89524490,71476030,29885220,24265570,23748390,26152060,24775640,24939950,75190450,81620210,23874650,24241720,26433880,27539870,25521280,77454140,30421130,30467050,79497170,78091830
