function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,15,10000,500,0,1.372476
decode_tensor_viterbi_cpp,15,10000,500,1,1.360893
decode_tensor_viterbi_cpp,15,10000,500,2,1.360657
decode_tensor_viterbi_cpp,15,10000,500,3,1.360481
decode_tensor_viterbi_cpp,15,10000,500,4,1.360974
decode_tensor_viterbi_cpp,15,10000,500,5,1.360454
decode_tensor_viterbi_cpp,15,10000,500,6,1.360506
decode_tensor_viterbi_cpp,15,10000,500,7,1.360828
decode_tensor_viterbi_cpp,15,10000,500,8,1.360872
decode_tensor_viterbi_cpp,15,10000,500,9,1.360559
